source_id,claim,source_title,publisher,url,pub_date,accessed
SRC-01,"У вересні 1999 року компанія Post Office Counters Limited розпочала впровадження ІТ-системи Horizon","Post Office Horizon IT Inquiry Report: Volume 1","Post Office Horizon IT Inquiry","https://share.google/dE1PiddVBY4UZDI85",2025-07-08,2026-09-14
SRC-02,"У 2019 році Високий суд виніс рішення на користь 584 поштмейстерів у межах групового позову","Bates and Others v Post Office Limited (Judgment No.6)","High Court of Justice (Queen's Bench Division)","https://share.google/Hj9EH0HP0uX5RRi8g",2019-12-16,2026-09-14
